cores,rts,tr,users,replica,util,mem
1.0,0.0,0.0,,10,0.0,0
1.0,0.0,0.0,0.0,10,0.0,0
1.0,0.09290676913740678,0.048900000000000006,1.0,10,0.0,0
1.0,0.07965346687477058,0.124,2.0,10,0.0,0
1.0,0.07558166230506891,0.27144444444444443,4.0,10,0.0,0
1.0,0.07160950008505136,0.48739166666666667,6.0,10,0.0,0
1.0,0.06681009065129384,0.7345333333333335,7.0,10,0.0,0
1.0,0.06492912877721392,1.0507666666666666,9.0,10,0.0,0
1.0,0.062340852635790645,1.4361904761904762,11.0,10,0.0,0
1.0,0.05984862559266125,1.8527166666666668,12.0,10,0.0,0
1.0,0.0580070526861151,2.336644444444444,14.0,10,0.0,0
1.0,0.05692858203764052,2.8885866666666664,16.0,10,0.0,0
1.0,0.056090399219460435,3.4380181818181823,17.0,10,0.0,0
1.0,0.05562362251707872,4.056133333333333,19.0,10,0.0,0
1.0,0.05552930857808205,4.74291282051282,21.0,10,0.0,0
1.0,0.055268976045048754,5.463226190476191,22.0,10,0.0,0
1.0,0.05490261323640122,6.25,24.0,10,0.0,0
1.0,0.05469890134346202,7.104531250000002,26.0,10,0.0,0
1.0,0.05453974849629747,8.0272,27.0,10,0.0,0
1.0,0.054411097945591416,8.949409259259259,29.0,10,0.0,0
1.0,0.054267045710824434,9.90401754385965,31.0,10,0.0,0
1.0,0.05411961942509649,10.99593,32.0,10,0.0,0
1.0,0.05407700345520184,12.084985714285713,34.0,10,0.10452413942971613,0
1.0,0.054071761167571,13.294190909090911,36.0,1,0.16693775227519156,0
1.0,0.05410783448898392,14.500094202898554,37.0,2,0.25303590514386703,0
1.0,0.05424964392447405,15.778099999999997,39.0,3,0.29257196901316274,0
1.0,0.05578955026262155,17.194209333333333,41.0,3,0.3734807280600456,0
1.0,0.056369725898932944,18.576842307692306,42.0,3,0.4764138866561658,0
1.0,0.056594513395165504,20.033023456790122,44.0,4,0.518445436969783,0
1.0,0.05680756703922853,21.449373809523813,46.0,4,0.5963827186614883,0
1.0,0.056954919968406306,22.93027011494253,49.0,5,0.6443965893757698,0
1.0,0.05753275775905378,25.421810344827588,51.0,5,0.7660330418450607,0
1.0,0.057624935130598055,27.154659770114943,52.0,5,0.8198870206405915,0
1.0,0.05781953356417969,28.854597701149427,54.0,6,0.9158436612383108,0
1.0,0.0578456159017294,30.652800000000003,56.0,6,0.9948432926856973,0
1.0,0.05771942054014854,32.310344827586206,57.0,6,1.0407468109586655,0
1.0,0.0591382188199114,33.724137931034484,59.0,6,1.0715691496119126,0
1.0,0.06136405000085541,35.3448275862069,61.0,7,1.1560934805666754,0
1.0,0.061585010413403744,36.93103448275862,62.0,7,1.2398788380753119,0
1.0,0.0618185003015543,38.48275862068965,64.0,7,1.3286102409486964,0
1.0,0.06239547902617242,40.06896551724138,66.0,8,1.4152119421977507,0
1.0,0.06307131366542927,41.6551724137931,67.0,8,1.5336510986434424,0
1.0,0.06359107215379128,43.206896551724135,69.0,8,1.6970815359568174,0
1.0,0.0639827832597029,44.758620689655174,71.0,9,1.8831803059601284,0
1.0,0.06447100286213552,46.241379310344826,72.0,10,1.898842621776377,0
1.0,0.06486157534955721,47.6551724137931,74.0,10,2.1112369212059527,0
1.0,0.06616482348966506,49.10344827586207,76.0,11,2.0877882194365247,0
1.0,0.06630294194101718,50.55172413793103,77.0,11,2.352140982308035,0
