Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1741730168,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1741730169,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1741730170,1,,Aggregated,0.000000,0.000000,6,7,29,29,50,50,50,50,50,50,50,8,0,3,12.293083629629109,1.2052320234943181,49.65824700775556,171.625
1741730171,3,,Aggregated,0.000000,0.000000,3,6,7,26,39,49,50,50,50,50,50,32,0,3,10.607580783471349,1.1279379832558334,49.65824700775556,171.625
1741730172,5,,Aggregated,0.000000,0.000000,3,4,6,6,38,48,49,50,50,50,50,72,0,3,8.92827095837371,1.082579983631149,49.65824700775556,171.625
1741730173,6,,Aggregated,4.000000,0.000000,2,3,5,6,38,39,48,49,50,50,50,120,0,2,7.992504290208065,1.050560997100547,49.65824700775556,171.64166666666668
1741730174,8,,Aggregated,10.666667,0.000000,2,3,4,5,36,39,48,49,50,50,50,184,0,2,7.468777227388826,1.050560997100547,49.65824700775556,171.66847826086956
1741730175,10,,Aggregated,18.000000,0.000000,2,3,3,4,36,39,40,48,50,50,50,264,0,2,7.130113976128279,1.050560997100547,49.65824700775556,171.70075757575756
1741730176,11,,Aggregated,30.666667,0.000000,2,3,3,4,35,38,39,48,50,50,50,352,0,2,6.901520518939916,1.029673992889002,49.65824700775556,171.72727272727272
1741730177,13,,Aggregated,37.714286,0.000000,2,3,3,4,35,38,39,42,50,50,50,456,0,2,6.7394202383742625,1.0094519820995629,49.65824700775556,171.7565789473684
1741730178,15,,Aggregated,43.625000,0.000000,2,3,3,3,35,37,39,42,50,50,50,569,0,2,6.615393106657471,1.004974008537829,49.65824700775556,171.48506151142354
1741730179,16,,Aggregated,49.777778,0.000000,2,3,3,3,35,37,39,40,50,50,50,693,0,2,6.514651946116018,0.964320992352441,49.65824700775556,170.8860028860029
1741730180,18,,Aggregated,56.300000,0.000000,2,3,3,3,35,36,39,39,50,50,50,832,0,2,6.493572188201842,0.964320992352441,49.65824700775556,171.83173076923077
1741730181,20,,Aggregated,68.800000,0.000000,2,3,3,3,35,36,39,40,50,50,50,989,0,2,6.429191819632038,0.9047539788298309,49.65824700775556,171.20424671385237
1741730182,21,,Aggregated,81.900000,0.000000,2,3,3,3,35,36,39,39,49,50,50,1149,0,2,6.380443383603794,0.9047539788298309,49.65824700775556,171.30983463881637
1741730183,23,,Aggregated,94.500000,0.000000,2,3,3,3,35,36,39,39,49,50,50,1328,0,2,6.413602537774629,0.9047539788298309,49.65824700775556,171.87951807228916
1741730184,25,,Aggregated,107.200000,0.000000,2,3,3,3,35,36,39,39,49,50,50,1527,0,2,6.405418540542297,0.9047539788298309,49.65824700775556,171.99672560576295
1741730185,26,,Aggregated,120.500000,0.000000,2,3,3,3,35,36,38,39,49,50,50,1726,0,2,6.392162675305749,0.9025729959830642,49.65824700775556,172.09501738122827
1741730186,28,,Aggregated,132.900000,0.000000,2,3,3,3,35,36,38,39,49,50,50,1944,0,2,6.377417775494508,0.9025729959830642,49.65824700775556,171.91409465020575
1741730187,30,,Aggregated,145.600000,0.000000,2,3,3,3,35,36,38,39,48,50,50,2184,0,2,6.363918753071124,0.9025729959830642,49.65824700775556,171.92445054945054
1741730188,31,,Aggregated,159.200000,0.000000,2,3,3,3,35,36,38,39,48,50,50,2425,0,2,6.338570231653405,0.9025729959830642,49.65824700775556,171.47711340206186
1741730189,33,,Aggregated,171.800000,0.000000,2,3,3,3,35,36,38,39,49,78,78,2675,0,2,6.354391015979035,0.8988780027721077,78.26819800538942,171.78953271028038
1741730190,35,,Aggregated,183.900000,0.000000,2,3,3,3,35,36,38,39,49,78,78,2945,0,2,6.336623481522253,0.8988780027721077,78.26819800538942,171.5691001697793
1741730191,36,,Aggregated,196.100000,0.000000,2,3,3,3,35,37,38,39,48,78,78,3216,0,2,6.359226589046019,0.8988780027721077,78.26819800538942,171.95771144278606
1741730192,38,,Aggregated,209.700000,0.000000,2,3,3,3,35,37,38,39,48,78,78,3508,2,2,6.362907496731829,0.8988780027721077,78.26819800538942,171.50142531356897
1741730193,40,,Aggregated,222.300000,0.000000,2,3,3,3,35,37,38,39,48,78,78,3799,7,2,6.40133464690293,0.8988780027721077,78.26819800538942,171.65201368781257
1741730194,41,,Aggregated,234.600000,0.200000,2,3,3,3,35,37,38,40,56,1000,1000,4089,8,2,6.697555982810291,0.8988780027721077,1002.4409019970335,171.59501100513572
1741730195,43,,Aggregated,244.900000,0.700000,2,3,3,3,35,37,39,40,78,1000,1000,4422,10,2,7.188898697634991,0.8988780027721077,1002.8503740031738,171.48417005879693
1741730196,45,,Aggregated,255.300000,0.800000,2,3,3,4,36,37,39,41,78,1000,1000,4764,10,2,7.186628505680436,0.8988780027721077,1002.8503740031738,171.1586901763224
1741730197,46,,Aggregated,266.500000,1.000000,2,3,3,4,36,37,39,42,66,1000,1000,5101,10,2,7.190671064129349,0.8988780027721077,1002.8503740031738,171.81356596745735
1741730198,48,,Aggregated,278.100000,1.000000,2,3,3,4,36,37,39,42,66,1000,1000,5469,10,2,7.162878021344043,0.8898950181901455,1002.8503740031738,171.6240628999817
1741730199,50,,Aggregated,291.400000,1.000000,2,3,3,4,36,37,40,42,66,1000,1000,5864,10,2,7.1622415101730175,0.8898950181901455,1002.8503740031738,171.7619372442019
1741730200,51,,Aggregated,304.500000,1.000000,2,3,3,4,36,38,40,42,66,1000,1000,6246,10,2,7.170815403417622,0.8898950181901455,1002.8503740031738,171.4833493435799
1741730201,53,,Aggregated,316.600000,1.000000,2,3,3,4,36,38,40,42,66,1000,1000,6642,10,2,7.204702919311496,0.8898950181901455,1002.8503740031738,171.6046371574827
1741730202,55,,Aggregated,327.800000,1.000000,2,3,3,4,36,38,40,42,66,1000,1000,7069,10,2,7.222808343188548,0.8898950181901455,1002.8503740031738,171.7224501343896
1741730203,56,,Aggregated,341.300000,1.000000,2,3,3,4,36,38,40,42,66,1000,1000,7500,10,2,7.215066691569518,0.8898950181901455,1002.8503740031738,171.76293333333334
1741730204,58,,Aggregated,354.700000,0.800000,2,3,3,4,36,38,40,43,110,1000,1000,7930,14,2,7.2988450291167535,0.8898950181901455,1002.8503740031738,171.3890290037831
1741730205,60,,Aggregated,369.500000,0.300000,2,3,4,4,36,38,41,46,140,1000,1000,8359,14,2,7.622844148357474,0.8898950181901455,1002.8503740031738,171.08565617896878
1741730206,61,,Aggregated,382.300000,0.600000,2,3,4,4,36,38,43,55,180,1000,1000,8796,14,2,8.024400914019969,0.8898950181901455,1002.8503740031738,171.2993406093679
1741730207,63,,Aggregated,392.500000,0.400000,2,3,4,5,36,39,45,76,170,1000,1000,9256,14,2,8.37300221194355,0.8898950181901455,1002.8503740031738,171.27495678478826
1741730208,65,,Aggregated,403.800000,0.400000,3,3,4,5,36,39,51,86,180,1000,1000,9727,14,3,8.72514882420445,0.8898950181901455,1002.8503740031738,171.34152359411945
1741730209,66,,Aggregated,413.900000,0.400000,3,3,4,5,36,39,57,92,180,1000,1000,10212,14,3,8.931318534341115,0.8898950181901455,1002.8503740031738,171.406580493537
1741730210,68,,Aggregated,423.500000,0.400000,3,3,4,5,37,40,62,94,180,1000,1000,10708,14,3,9.048689549438674,0.8794559980742633,1002.8503740031738,171.34058647740008
1741730211,70,,Aggregated,435.200000,0.400000,3,3,4,6,37,40,66,98,180,1000,1000,11218,14,3,9.328112935572006,0.8794559980742633,1002.8503740031738,171.394633624532
1741730212,71,,Aggregated,445.800000,0.400000,3,3,5,6,37,41,71,100,180,1000,1000,11710,14,3,9.581357183552846,0.8794559980742633,1002.8503740031738,171.29419299743807
1741730213,73,,Aggregated,454.000000,0.400000,3,4,5,6,37,41,75,100,180,1000,1000,12233,14,3,9.78490056825982,0.8794559980742633,1002.8503740031738,171.54164963622986
1741730214,75,,Aggregated,462.000000,0.400000,3,4,5,6,37,42,79,100,180,1000,1000,12775,14,3,10.08048741930846,0.8794559980742633,1002.8503740031738,171.51639921722114
1741730215,76,,Aggregated,472.100000,0.400000,3,4,5,7,37,43,83,110,180,1000,1000,13320,14,3,10.406066574759423,0.8794559980742633,1002.8503740031738,171.52762762762762
1741730216,78,,Aggregated,483.200000,0.000000,3,4,5,7,37,44,84,110,180,1000,1000,13876,14,3,10.493662926547385,0.8794559980742633,1002.8503740031738,171.4338426059383
1741730217,80,,Aggregated,493.500000,0.000000,3,4,6,7,38,45,89,110,190,1000,1000,14442,14,3,10.830591788289727,0.8794559980742633,1002.8503740031738,171.4818584683562
1741730218,81,,Aggregated,505.400000,0.000000,3,4,6,8,38,47,91,110,190,1000,1000,15000,14,3,11.118789654110635,0.8794559980742633,1002.8503740031738,171.31833333333333
1741730219,83,,Aggregated,516.200000,0.000000,3,4,6,8,38,49,94,110,190,1000,1000,15574,14,3,11.329017008653995,0.8794559980742633,1002.8503740031738,171.56260434056762
1741730220,85,,Aggregated,525.200000,0.000000,3,4,6,8,38,51,95,110,190,1000,1000,16176,14,3,11.622384882444662,0.8794559980742633,1002.8503740031738,171.43867457962415
1741730221,86,,Aggregated,532.800000,0.000000,3,5,6,8,38,53,96,110,190,1000,1000,16786,14,3,11.810207892972295,0.8794559980742633,1002.8503740031738,171.5667818420112
1741730222,88,,Aggregated,544.400000,0.000000,3,5,7,9,39,54,96,110,190,1000,1000,17423,14,3,11.959822479869764,0.8794559980742633,1002.8503740031738,171.5425586867933
1741730223,90,,Aggregated,556.500000,0.000000,3,5,7,9,39,56,97,120,190,1000,1000,18070,14,3,12.170011640446983,0.8794559980742633,1002.8503740031738,171.5770890979524
1741730224,91,,Aggregated,569.700000,0.000000,3,5,7,9,39,57,98,120,190,1000,1000,18706,14,3,12.333781725020813,0.8748930122237653,1002.8503740031738,171.66957126055812
1741730225,93,,Aggregated,579.900000,0.000000,3,5,7,10,39,59,99,120,190,1000,1000,19359,14,3,12.563465984396254,0.8748930122237653,1002.8503740031738,171.72581228369233
1741730226,95,,Aggregated,590.300000,0.000000,3,5,7,10,39,59,99,120,190,1000,1000,20026,14,3,12.662576115948278,0.8748930122237653,1002.8503740031738,171.54723858983323
1741730227,96,,Aggregated,601.800000,0.000000,3,5,8,10,40,61,100,120,190,1000,1000,20706,14,3,12.883782851691901,0.8748930122237653,1002.8503740031738,171.7148652564474
