Method,Name,Error,Occurrences
OPTIONS,/api/user/logout,"ConnectionResetError(104, 'Connection reset by peer')",1
DELETE,/api/user/logout,"ConnectionRefusedError(111, 'Connection refused')",1
OPTIONS,/api/user/login,"ConnectionResetError(104, 'Connection reset by peer')",3
OPTIONS,/api/user/login,"ConnectionRefusedError(111, 'Connection refused')",19
OPTIONS,/api/user/login,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to localhost timed out. (connect timeout=1)')",2
GET,/api/auth/verify,"ConnectionResetError(104, 'Connection reset by peer')",2
OPTIONS,/api/exercise-production,"ConnectionRefusedError(111, 'Connection refused')",1
POST,/api/user/login,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to localhost timed out. (connect timeout=1)')",1
OPTIONS,/api/auth/verify,"ConnectionResetError(104, 'Connection reset by peer')",4
POST,/api/user/login,"ConnectionRefusedError(111, 'Connection refused')",4
POST,/api/exercise-production,RemoteDisconnected('Remote end closed connection without response'),6
DELETE,/api/user/logout,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/exercise-production,"ConnectionResetError(104, 'Connection reset by peer')",1
